Unique.ID,Grantor,Grantee,Program,Year,Date,EndDate,Amount,AmendmentNumber,Funding.Agency,Funding.Source,Category,Location,Issued,Funding.Type,Years,Average.By.Year,City.Year,Population,Amount.Per.Capita,Amount.Per.PEH,Population.PEH,ExpenditureType
,City of Imperial Beach,,,2022.0,,,0,,,,,,,,,,City of Imperial Beach|2022,,$0.00 ,$0.00 ,0.0,Other/Unknown
1066,City of Chula Vista,SBCS CORPORATION,housing assistance,2017.0,11/22/2017,,"$1,835.85 ",,,CDBG,,,,,,,City of Chula Vista|2017,266427.0,$0.01 ,$5.00 ,367.0,Crisis Management
,City of Chula Vista,SBCS CORPORATION,housing assistance,2017.0,12/8/2017,,"$12,461.00 ",,,HOME,,,,,,,City of Chula Vista|2017,266427.0,$0.05 ,$33.95 ,367.0,Prevention
,City of Chula Vista,SBCS CORPORATION,housing assistance,2017.0,12/27/2017,,"$9,575.31 ",,,HOME,,,,,,,City of Chula Vista|2017,266427.0,$0.04 ,$26.09 ,367.0,Prevention
1067,City of Chula Vista,INTERFAITH SHELTER NETWORK,housing assistance,2018.0,1/23/2018,,"$2,351.52 ",,,CDBG,,,,,,,City of Chula Vista|2018,268588.0,$0.01 ,$12.78 ,184.0,Crisis Management
1066,City of Chula Vista,SBCS CORPORATION,housing assistance,2018.0,1/25/2018,,"$2,385.63 ",,,CDBG,,,,,,,City of Chula Vista|2018,268588.0,$0.01 ,$12.97 ,184.0,Crisis Management
1068,City of Chula Vista,SBCS CORPORATION,homelessness services,2018.0,1/25/2018,,"$8,385.00 ",,,CDBG,Supportive Services,,,,,,City of Chula Vista|2018,268588.0,$0.03 ,$45.57 ,184.0,Crisis Management
1045,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2018.0,3/29/2018,,"$5,127.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2018,268588.0,$0.02 ,$27.86 ,184.0,Diversion
1084,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2018.0,3/29/2018,,"$44,219.26 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2018,268588.0,$0.16 ,$240.32 ,184.0,Diversion
1084,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2018.0,4/2/2018,,"$8,328.54 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2018,268588.0,$0.03 ,$45.26 ,184.0,Diversion
1084,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2018.0,4/2/2018,,"$6,427.86 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2018,268588.0,$0.02 ,$34.93 ,184.0,Diversion
1045,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2018.0,4/13/2018,,"$3,830.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2018,268588.0,$0.01 ,$20.82 ,184.0,Diversion
1084,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2018.0,4/13/2018,,"$4,715.02 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2018,268588.0,$0.02 ,$25.63 ,184.0,Diversion
1066,City of Chula Vista,SBCS CORPORATION,housing assistance,2018.0,5/4/2018,,"$8,750.60 ",,,CDBG,,,,,,,City of Chula Vista|2018,268588.0,$0.03 ,$47.56 ,184.0,Crisis Management
1068,City of Chula Vista,SBCS CORPORATION,homelessness services,2018.0,5/4/2018,,"$16,825.00 ",,,CDBG,Supportive Services,,,,,,City of Chula Vista|2018,268588.0,$0.06 ,$91.44 ,184.0,Crisis Management
1045,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2018.0,5/17/2018,,"$3,583.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2018,268588.0,$0.01 ,$19.47 ,184.0,Diversion
1084,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2018.0,5/17/2018,,"$2,632.75 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2018,268588.0,$0.01 ,$14.31 ,184.0,Diversion
1067,City of Chula Vista,INTERFAITH SHELTER NETWORK,housing assistance,2018.0,5/21/2018,,"$4,218.84 ",,,CDBG,,,,,,,City of Chula Vista|2018,268588.0,$0.02 ,$22.93 ,184.0,Crisis Management
1045,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2018.0,6/18/2018,,"$5,043.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2018,268588.0,$0.02 ,$27.41 ,184.0,Diversion
1084,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2018.0,6/18/2018,,"$3,286.57 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2018,268588.0,$0.01 ,$17.86 ,184.0,Diversion
1067,City of Chula Vista,INTERFAITH SHELTER NETWORK,housing assistance,2018.0,6/19/2018,,"$2,458.14 ",,,CDBG,,,,,,,City of Chula Vista|2018,268588.0,$0.01 ,$13.36 ,184.0,Crisis Management
,City of Chula Vista,SBCS CORPORATION,housing assistance,2018.0,6/30/2018,,"$7,335.40 ",,,HOME,,,,,,,City of Chula Vista|2018,268588.0,$0.03 ,$39.87 ,184.0,Prevention
,City of Chula Vista,SBCS CORPORATION,housing assistance,2018.0,6/30/2018,,"$5,449.60 ",,,HOME,,,,,,,City of Chula Vista|2018,268588.0,$0.02 ,$29.62 ,184.0,Prevention
,City of Chula Vista,SBCS CORPORATION,housing assistance,2018.0,6/30/2018,,"$4,125.60 ",,,HOME,,,,,,,City of Chula Vista|2018,268588.0,$0.02 ,$22.42 ,184.0,Prevention
,City of Chula Vista,SBCS CORPORATION,housing assistance,2018.0,6/30/2018,,"$3,206.60 ",,,HOME,,,,,,,City of Chula Vista|2018,268588.0,$0.01 ,$17.43 ,184.0,Prevention
,City of Chula Vista,SBCS CORPORATION,housing assistance,2018.0,6/30/2018,,"$3,206.60 ",,,HOME,,,,,,,City of Chula Vista|2018,268588.0,$0.01 ,$17.43 ,184.0,Prevention
,City of Chula Vista,SBCS CORPORATION,housing assistance,2018.0,6/30/2018,,"$1,743.03 ",,,HOME,,,,,,,City of Chula Vista|2018,268588.0,$0.01 ,$9.47 ,184.0,Prevention
1045,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2018.0,6/30/2018,,"$1,677.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2018,268588.0,$0.01 ,$9.11 ,184.0,Diversion
1066,City of Chula Vista,SBCS CORPORATION,housing assistance,2018.0,6/30/2018,,"$16,309.26 ",,,CDBG,,,,,,,City of Chula Vista|2018,268588.0,$0.06 ,$88.64 ,184.0,Crisis Management
1068,City of Chula Vista,SBCS CORPORATION,homelessness services,2018.0,6/30/2018,,"$14,064.00 ",,,CDBG,Supportive Services,,,,,,City of Chula Vista|2018,268588.0,$0.05 ,$76.43 ,184.0,Crisis Management
1083,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2018.0,6/30/2018,,"$8,645.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2018,268588.0,$0.03 ,$46.98 ,184.0,Diversion
1084,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2018.0,6/30/2018,,$966.00 ,,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2018,268588.0,$0.00 ,$5.25 ,184.0,Diversion
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2018.0,6/30/2018,,"$2,610.05 ",,,HOME,,,,,,,City of Chula Vista|2018,268588.0,$0.01 ,$14.19 ,184.0,Prevention
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2018.0,6/30/2018,,"$4,107.36 ",,,HOME,,,,,,,City of Chula Vista|2018,268588.0,$0.02 ,$22.32 ,184.0,Prevention
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2018.0,6/30/2018,,"$3,206.40 ",,,HOME,,,,,,,City of Chula Vista|2018,268588.0,$0.01 ,$17.43 ,184.0,Prevention
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2018.0,6/30/2018,,"$8,248.30 ",,,HOME,,,,,,,City of Chula Vista|2018,268588.0,$0.03 ,$44.83 ,184.0,Prevention
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2018.0,6/30/2018,,"$7,184.28 ",,,HOME,,,,,,,City of Chula Vista|2018,268588.0,$0.03 ,$39.05 ,184.0,Prevention
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2018.0,6/30/2018,,"$9,329.00 ",,,HOME,,,,,,,City of Chula Vista|2018,268588.0,$0.03 ,$50.70 ,184.0,Prevention
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2018.0,6/30/2018,,"$11,546.21 ",,,HOME,,,,,,,City of Chula Vista|2018,268588.0,$0.04 ,$62.75 ,184.0,Prevention
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2018.0,11/6/2018,,"$11,351.06 ",,,HOME,,,,,,,City of Chula Vista|2018,268588.0,$0.04 ,$61.69 ,184.0,Prevention
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2018.0,11/6/2018,,"$10,160.22 ",,,HOME,,,,,,,City of Chula Vista|2018,268588.0,$0.04 ,$55.22 ,184.0,Prevention
1045,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2018.0,11/7/2018,,$888.00 ,,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2018,268588.0,$0.00 ,$4.83 ,184.0,Diversion
1045,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2018.0,11/7/2018,,$888.00 ,,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2018,268588.0,$0.00 ,$4.83 ,184.0,Diversion
1084,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2018.0,11/7/2018,,$966.00 ,,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2018,268588.0,$0.00 ,$5.25 ,184.0,Diversion
1084,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2018.0,11/7/2018,,"$2,562.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2018,268588.0,$0.01 ,$13.92 ,184.0,Diversion
1084,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2018.0,11/7/2018,,"$5,178.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2018,268588.0,$0.02 ,$28.14 ,184.0,Diversion
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2018.0,11/7/2018,,"$11,346.00 ",,,HOME,,,,,,,City of Chula Vista|2018,268588.0,$0.04 ,$61.66 ,184.0,Prevention
1095,City of Chula Vista,INTERFAITH SHELTER NETWORK,housing assistance,2019.0,1/7/2019,,"$1,628.50 ",,,CDBG,,,,,,,City of Chula Vista|2019,271362.0,$0.01 ,$5.07 ,321.0,Crisis Management
1095,City of Chula Vista,INTERFAITH SHELTER NETWORK,housing assistance,2019.0,1/17/2019,,"$1,844.18 ",,,CDBG,,,,,,,City of Chula Vista|2019,271362.0,$0.01 ,$5.75 ,321.0,Crisis Management
1084,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2019.0,2/14/2019,,"$2,397.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2019,271362.0,$0.01 ,$7.47 ,321.0,Diversion
1084,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2019.0,2/14/2019,,"$2,657.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2019,271362.0,$0.01 ,$8.28 ,321.0,Diversion
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2019.0,3/14/2019,,"$12,761.74 ",,,HOME,,,,,,,City of Chula Vista|2019,271362.0,$0.05 ,$39.76 ,321.0,Prevention
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2019.0,3/14/2019,,"$20,868.56 ",,,HOME,,,,,,,City of Chula Vista|2019,271362.0,$0.08 ,$65.01 ,321.0,Prevention
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2019.0,3/14/2019,,"$17,930.50 ",,,HOME,,,,,,,City of Chula Vista|2019,271362.0,$0.07 ,$55.86 ,321.0,Prevention
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2019.0,3/14/2019,,"$17,681.21 ",,,HOME,,,,,,,City of Chula Vista|2019,271362.0,$0.07 ,$55.08 ,321.0,Prevention
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2019.0,3/14/2019,,"$18,030.42 ",,,HOME,,,,,,,City of Chula Vista|2019,271362.0,$0.07 ,$56.17 ,321.0,Prevention
1045,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2019.0,4/24/2019,,"$2,774.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2019,271362.0,$0.01 ,$8.64 ,321.0,Diversion
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2019.0,5/15/2019,,"$17,046.65 ",,,HOME,,,,,,,City of Chula Vista|2019,271362.0,$0.06 ,$53.10 ,321.0,Prevention
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2019.0,5/15/2019,,"$17,535.70 ",,,HOME,,,,,,,City of Chula Vista|2019,271362.0,$0.06 ,$54.63 ,321.0,Prevention
1084,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2019.0,6/11/2019,,"$3,183.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2019,271362.0,$0.01 ,$9.92 ,321.0,Diversion
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2019.0,6/25/2019,,"$19,640.18 ",,,HOME,,,,,,,City of Chula Vista|2019,271362.0,$0.07 ,$61.18 ,321.0,Prevention
16111-A2,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2019.0,6/25/2019,,"$27,441.65 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2019,271362.0,$0.10 ,$85.49 ,321.0,Diversion
1095,City of Chula Vista,INTERFAITH SHELTER NETWORK,housing assistance,2019.0,6/26/2019,,"$4,742.06 ",,,CDBG,,,,,,,City of Chula Vista|2019,271362.0,$0.02 ,$14.77 ,321.0,Crisis Management
16111-A2,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2019.0,6/26/2019,,"$6,888.37 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2019,271362.0,$0.03 ,$21.46 ,321.0,Diversion
1045,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2019.0,6/30/2019,,$242.00 ,,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2019,271362.0,$0.00 ,$0.75 ,321.0,Diversion
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2019.0,6/30/2019,,"$17,006.05 ",,,HOME,,,,,,,City of Chula Vista|2019,271362.0,$0.06 ,$52.98 ,321.0,Prevention
1094,City of Chula Vista,SBCS CORPORATION,housing assistance,2019.0,6/30/2019,,"$14,828.20 ",,,CDBG,,,,,,,City of Chula Vista|2019,271362.0,$0.05 ,$46.19 ,321.0,Crisis Management
1094,City of Chula Vista,SBCS CORPORATION,housing assistance,2019.0,6/30/2019,,"$35,171.80 ",,,CDBG,,,,,,,City of Chula Vista|2019,271362.0,$0.13 ,$109.57 ,321.0,Crisis Management
1095,City of Chula Vista,INTERFAITH SHELTER NETWORK,housing assistance,2019.0,6/30/2019,,"$2,785.26 ",,,CDBG,,,,,,,City of Chula Vista|2019,271362.0,$0.01 ,$8.68 ,321.0,Crisis Management
1096,City of Chula Vista,SBCS CORPORATION,homelessness services,2019.0,6/30/2019,,"$6,172.12 ",,,CDBG,Supportive Services,,,,,,City of Chula Vista|2019,271362.0,$0.02 ,$19.23 ,321.0,Crisis Management
1096,City of Chula Vista,SBCS CORPORATION,homelessness services,2019.0,6/30/2019,,"$8,960.19 ",,,CDBG,Supportive Services,,,,,,City of Chula Vista|2019,271362.0,$0.03 ,$27.91 ,321.0,Crisis Management
1096,City of Chula Vista,SBCS CORPORATION,homelessness services,2019.0,6/30/2019,,"$12,326.28 ",,,CDBG,Supportive Services,,,,,,City of Chula Vista|2019,271362.0,$0.05 ,$38.40 ,321.0,Crisis Management
16111-A2,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2019.0,6/30/2019,,"$7,850.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2019,271362.0,$0.03 ,$24.45 ,321.0,Diversion
16111-A2,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2019.0,6/30/2019,,"$7,016.37 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2019,271362.0,$0.03 ,$21.86 ,321.0,Diversion
1096,City of Chula Vista,SBCS CORPORATION,homelessness services,2019.0,7/8/2019,,"$12,091.41 ",,,CDBG,Supportive Services,,,,,,City of Chula Vista|2019,271362.0,$0.04 ,$37.67 ,321.0,Crisis Management
1130,City of Chula Vista,COMMUNITY THROUGH HOPE,local outreach programs,2019.0,9/24/2019,,"$3,750.00 ",,,CDBG,,,,,,,City of Chula Vista|2019,271362.0,$0.01 ,$11.68 ,321.0,Crisis Management
,City of Chula Vista,ONE TIME VENDOR,housing assistance,2019.0,9/30/2019,,$111.30 ,,,CDBG,,,,,,,City of Chula Vista|2019,271362.0,$0.00 ,$0.35 ,321.0,Crisis Management
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2019.0,10/15/2019,,"$15,938.00 ",,,HOME,,,,,,,City of Chula Vista|2019,271362.0,$0.06 ,$49.65 ,321.0,Prevention
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2019.0,10/15/2019,,"$14,754.00 ",,,HOME,,,,,,,City of Chula Vista|2019,271362.0,$0.05 ,$45.96 ,321.0,Prevention
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2019.0,11/12/2019,,"$14,493.00 ",,,HOME,,,,,,,City of Chula Vista|2019,271362.0,$0.05 ,$45.15 ,321.0,Prevention
16111-A2,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2019.0,11/12/2019,,"$19,576.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2019,271362.0,$0.07 ,$60.98 ,321.0,Diversion
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2019.0,11/22/2019,,"$11,302.00 ",,,HOME,,,,,,,City of Chula Vista|2019,271362.0,$0.04 ,$35.21 ,321.0,Prevention
,City of Chula Vista,ONE TIME VENDOR,housing assistance,2019.0,11/29/2019,,$423.16 ,,,CDBG,,,,,,,City of Chula Vista|2019,271362.0,$0.00 ,$1.32 ,321.0,Crisis Management
,City of Chula Vista,ONE TIME VENDOR,housing assistance,2019.0,11/29/2019,,$573.85 ,,,CDBG,,,,,,,City of Chula Vista|2019,271362.0,$0.00 ,$1.79 ,321.0,Crisis Management
,City of Chula Vista,ONE TIME VENDOR,housing assistance,2019.0,11/29/2019,,$248.45 ,,,CDBG,,,,,,,City of Chula Vista|2019,271362.0,$0.00 ,$0.77 ,321.0,Crisis Management
,City of Chula Vista,ONE TIME VENDOR,housing assistance,2019.0,11/29/2019,,$50.00 ,,,CDBG,,,,,,,City of Chula Vista|2019,271362.0,$0.00 ,$0.16 ,321.0,Crisis Management
1121,City of Chula Vista,SBCS CORPORATION,homelessness services,2019.0,12/2/2019,,"$6,149.00 ",,,CDBG,Supportive Services,,,,,,City of Chula Vista|2019,271362.0,$0.02 ,$19.16 ,321.0,Crisis Management
1130,City of Chula Vista,COMMUNITY THROUGH HOPE,local outreach programs,2019.0,12/2/2019,,"$2,500.00 ",,,CDBG,,,,,,,City of Chula Vista|2019,271362.0,$0.01 ,$7.79 ,321.0,Crisis Management
16111-A2,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2019.0,12/13/2019,,"$6,250.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2019,271362.0,$0.02 ,$19.47 ,321.0,Diversion
16111-A2,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2019.0,12/13/2019,,"$5,745.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2019,271362.0,$0.02 ,$17.90 ,321.0,Diversion
,City of Chula Vista,ONE TIME VENDOR,housing assistance,2019.0,12/31/2019,,$560.65 ,,,CDBG,,,,,,,City of Chula Vista|2019,271362.0,$0.00 ,$1.75 ,321.0,Crisis Management
,City of Chula Vista,ONE TIME VENDOR,housing assistance,2019.0,12/31/2019,,$560.65 ,,,CDBG,,,,,,,City of Chula Vista|2019,271362.0,$0.00 ,$1.75 ,321.0,Crisis Management
1120,City of Chula Vista,INTERFAITH SHELTER NETWORK,housing assistance,2020.0,1/24/2020,,"$3,226.48 ",,,CDBG,,,,,,,City of Chula Vista|2020,273384.0,$0.01 ,$10.31 ,313.0,Crisis Management
,City of Chula Vista,ONE TIME VENDOR,housing assistance,2020.0,1/30/2020,,$385.98 ,,,CDBG,,,,,,,City of Chula Vista|2020,273384.0,$0.00 ,$1.23 ,313.0,Crisis Management
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2020.0,2/20/2020,,"$5,923.11 ",,,HOME,,,,,,,City of Chula Vista|2020,273384.0,$0.02 ,$18.92 ,313.0,Prevention
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2020.0,2/20/2020,,"$4,905.00 ",,,HOME,,,,,,,City of Chula Vista|2020,273384.0,$0.02 ,$15.67 ,313.0,Prevention
16111-A2,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2020.0,2/21/2020,,"$5,959.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2020,273384.0,$0.02 ,$19.04 ,313.0,Diversion
16111-A2,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2020.0,2/21/2020,,"$5,610.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2020,273384.0,$0.02 ,$17.92 ,313.0,Diversion
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2020.0,2/21/2020,,"$10,995.00 ",,,HOME,,,,,,,City of Chula Vista|2020,273384.0,$0.04 ,$35.13 ,313.0,Prevention
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2020.0,2/21/2020,,"$11,015.00 ",,,HOME,,,,,,,City of Chula Vista|2020,273384.0,$0.04 ,$35.19 ,313.0,Prevention
1121,City of Chula Vista,SBCS CORPORATION,homelessness services,2020.0,2/24/2020,,"$8,767.00 ",,,CDBG,Supportive Services,,,,,,City of Chula Vista|2020,273384.0,$0.03 ,$28.01 ,313.0,Crisis Management
,City of Chula Vista,ONE TIME VENDOR,housing assistance,2020.0,2/26/2020,,$385.98 ,,,CDBG,,,,,,,City of Chula Vista|2020,273384.0,$0.00 ,$1.23 ,313.0,Crisis Management
,City of Chula Vista,ONE TIME VENDOR,housing assistance,2020.0,2/26/2020,,$220.56 ,,,CDBG,,,,,,,City of Chula Vista|2020,273384.0,$0.00 ,$0.70 ,313.0,Crisis Management
1120,City of Chula Vista,INTERFAITH SHELTER NETWORK,housing assistance,2020.0,2/28/2020,,"$2,799.92 ",,,CDBG,,,,,,,City of Chula Vista|2020,273384.0,$0.01 ,$8.95 ,313.0,Crisis Management
1120,City of Chula Vista,INTERFAITH SHELTER NETWORK,housing assistance,2020.0,5/7/2020,,"$3,464.22 ",,,CDBG,,,,,,,City of Chula Vista|2020,273384.0,$0.01 ,$11.07 ,313.0,Crisis Management
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2020.0,5/23/2020,,"$10,436.00 ",,,HOME,,,,,,,City of Chula Vista|2020,273384.0,$0.04 ,$33.34 ,313.0,Prevention
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2020.0,5/23/2020,,"$10,365.00 ",,,HOME,,,,,,,City of Chula Vista|2020,273384.0,$0.04 ,$33.12 ,313.0,Prevention
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2020.0,5/23/2020,,"$9,626.00 ",,,HOME,,,,,,,City of Chula Vista|2020,273384.0,$0.04 ,$30.75 ,313.0,Prevention
16111-A2,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2020.0,6/19/2020,,"$2,546.61 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2020,273384.0,$0.01 ,$8.14 ,313.0,Diversion
16111-A2,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2020.0,6/19/2020,,"$6,481.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2020,273384.0,$0.02 ,$20.71 ,313.0,Diversion
16111-A3,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2020.0,6/19/2020,,"$3,108.39 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2020,273384.0,$0.01 ,$9.93 ,313.0,Diversion
16111-A3,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2020.0,6/19/2020,,"$5,205.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2020,273384.0,$0.02 ,$16.63 ,313.0,Diversion
16111-A3,City of Chula Vista,SBCS CORPORATION,rapid rehousing program,2020.0,6/19/2020,,"$5,125.00 ",,,ESG,Rapid Rehousing Services,,,,,,City of Chula Vista|2020,273384.0,$0.02 ,$16.37 ,313.0,Diversion
17088,City of Chula Vista,SBCS CORPORATION,housing assistance,2020.0,6/19/2020,,"$11,856.00 ",,,HOME,,,,,,,City of Chula Vista|2020,273384.0,$0.04 ,$37.88 ,313.0,Prevention
