City,Year,Grantee,bridge to housing network,emergency shelter,family reunification program,flexible funds,food and nutrition,homeless services,homelessness prevention,homeshare program,housing assistance,housing navigation services,housing stability services,motel voucher,neighborhood revitalization services,opening doors program,outreach,project h.o.p.e.,rapid re housing,rental assistance,restrooms,safe parking,service center,staff and operations,take back the streets,transitional housing,work for hope
Carlsbad,2021,Catholic Charities,0.0,52574.0,0.0,0.0,0.0,419583.25,0.0,0.0,56775.0,0.0,0.0,12781.16,99510.0,0.0,1989211.47,0.0,350000.0,41211.0,125000.0,0.0,204217.0,40000.0,0.0,0.0,0.0
Carlsbad,2021,Legal Aid Society,0.0,52574.0,0.0,0.0,0.0,419583.25,0.0,0.0,56775.0,0.0,0.0,12781.16,99510.0,0.0,1989211.47,0.0,350000.0,41211.0,125000.0,0.0,204217.0,40000.0,0.0,0.0,0.0
Carlsbad,2021,Women's Resource Center,0.0,52574.0,0.0,0.0,0.0,419583.25,0.0,0.0,56775.0,0.0,0.0,12781.16,99510.0,0.0,1989211.47,0.0,350000.0,41211.0,125000.0,0.0,204217.0,40000.0,0.0,0.0,0.0
Carlsbad,2021,City of Carlsbad,0.0,52574.0,0.0,0.0,0.0,419583.25,0.0,0.0,56775.0,0.0,0.0,12781.16,99510.0,0.0,1989211.47,0.0,350000.0,41211.0,125000.0,0.0,204217.0,40000.0,0.0,0.0,0.0
Carlsbad,2021,Urban Corps,0.0,52574.0,0.0,0.0,0.0,419583.25,0.0,0.0,56775.0,0.0,0.0,12781.16,99510.0,0.0,1989211.47,0.0,350000.0,41211.0,125000.0,0.0,204217.0,40000.0,0.0,0.0,0.0
Carlsbad,2022,Interfaith Community Services,0.0,202698.0,0.0,0.0,0.0,29825.0,0.0,0.0,33073.0,0.0,0.0,0.0,90623.5,0.0,315000.0,0.0,350000.0,42396.0,25000.0,0.0,204217.0,180000.0,0.0,0.0,0.0
Carlsbad,2022,Community Resource Center,0.0,202698.0,0.0,0.0,0.0,29825.0,0.0,0.0,33073.0,0.0,0.0,0.0,90623.5,0.0,315000.0,0.0,350000.0,42396.0,25000.0,0.0,204217.0,180000.0,0.0,0.0,0.0
Carlsbad,2022,Catholic Charities,0.0,202698.0,0.0,0.0,0.0,29825.0,0.0,0.0,33073.0,0.0,0.0,0.0,90623.5,0.0,315000.0,0.0,350000.0,42396.0,25000.0,0.0,204217.0,180000.0,0.0,0.0,0.0
Carlsbad,2022,Alliance for Regional Solutions,0.0,202698.0,0.0,0.0,0.0,29825.0,0.0,0.0,33073.0,0.0,0.0,0.0,90623.5,0.0,315000.0,0.0,350000.0,42396.0,25000.0,0.0,204217.0,180000.0,0.0,0.0,0.0
Carlsbad,2022,San Diego Urban Corps,0.0,202698.0,0.0,0.0,0.0,29825.0,0.0,0.0,33073.0,0.0,0.0,0.0,90623.5,0.0,315000.0,0.0,350000.0,42396.0,25000.0,0.0,204217.0,180000.0,0.0,0.0,0.0
Carlsbad,2022,San Diego Humane Society,0.0,202698.0,0.0,0.0,0.0,29825.0,0.0,0.0,33073.0,0.0,0.0,0.0,90623.5,0.0,315000.0,0.0,350000.0,42396.0,25000.0,0.0,204217.0,180000.0,0.0,0.0,0.0
Carlsbad,2022,Rocket Johns,0.0,202698.0,0.0,0.0,0.0,29825.0,0.0,0.0,33073.0,0.0,0.0,0.0,90623.5,0.0,315000.0,0.0,350000.0,42396.0,25000.0,0.0,204217.0,180000.0,0.0,0.0,0.0
Carlsbad,2022,Brother Benno's,0.0,202698.0,0.0,0.0,0.0,29825.0,0.0,0.0,33073.0,0.0,0.0,0.0,90623.5,0.0,315000.0,0.0,350000.0,42396.0,25000.0,0.0,204217.0,180000.0,0.0,0.0,0.0
Carlsbad,2022,Legal Aid Society,0.0,202698.0,0.0,0.0,0.0,29825.0,0.0,0.0,33073.0,0.0,0.0,0.0,90623.5,0.0,315000.0,0.0,350000.0,42396.0,25000.0,0.0,204217.0,180000.0,0.0,0.0,0.0
Carlsbad,2022,Women's Resource Center,0.0,202698.0,0.0,0.0,0.0,29825.0,0.0,0.0,33073.0,0.0,0.0,0.0,90623.5,0.0,315000.0,0.0,350000.0,42396.0,25000.0,0.0,204217.0,180000.0,0.0,0.0,0.0
Chula Vista,2017,SBCS CORPORATION,0.0,3943.0,0.0,0.0,0.0,552.0,0.0,0.0,0.0,0.0,0.0,3671.7,0.0,0.0,0.0,0.0,0.0,118791.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chula Vista,2017,INTERFAITH SHELTER NETWORK,0.0,3943.0,0.0,0.0,0.0,552.0,0.0,0.0,0.0,0.0,0.0,3671.7,0.0,0.0,0.0,0.0,0.0,118791.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chula Vista,2018,INTERFAITH SHELTER NETWORK,0.0,18057.0,0.0,0.0,0.0,78548.0,0.0,0.0,0.0,0.0,0.0,54890.98,0.0,0.0,0.0,0.0,217926.0,208311.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chula Vista,2018,SBCS CORPORATION,0.0,18057.0,0.0,0.0,0.0,78548.0,0.0,0.0,0.0,0.0,0.0,54890.98,0.0,0.0,0.0,0.0,217926.0,208311.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chula Vista,2019,INTERFAITH SHELTER NETWORK,0.0,22000.0,0.0,0.0,0.0,91398.0,0.0,0.0,0.0,0.0,0.0,105056.12,0.0,0.0,0.0,12500.0,184040.78,429976.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chula Vista,2019,SBCS CORPORATION,0.0,22000.0,0.0,0.0,0.0,91398.0,0.0,0.0,0.0,0.0,0.0,105056.12,0.0,0.0,0.0,12500.0,184040.78,429976.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chula Vista,2019,COMMUNITY THROUGH HOPE,0.0,22000.0,0.0,0.0,0.0,91398.0,0.0,0.0,0.0,0.0,0.0,105056.12,0.0,0.0,0.0,12500.0,184040.78,429976.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chula Vista,2019,ONE TIME VENDOR,0.0,22000.0,0.0,0.0,0.0,91398.0,0.0,0.0,0.0,0.0,0.0,105056.12,0.0,0.0,0.0,12500.0,184040.78,429976.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chula Vista,2021,KIKU GARDENS,0.0,30000.0,0.0,0.0,0.0,111454.0,0.0,0.0,0.0,0.0,0.0,45003.44,0.0,0.0,0.0,0.0,52986.0,63728.0,0.0,0.0,0.0,0.0,200000.0,0.0,53671.56
Chula Vista,2021,ONE TIME VENDOR,0.0,30000.0,0.0,0.0,0.0,111454.0,0.0,0.0,0.0,0.0,0.0,45003.44,0.0,0.0,0.0,0.0,52986.0,63728.0,0.0,0.0,0.0,0.0,200000.0,0.0,53671.56
Chula Vista,2021,ALPHA PROJECT FOR THE HOMELESS,0.0,30000.0,0.0,0.0,0.0,111454.0,0.0,0.0,0.0,0.0,0.0,45003.44,0.0,0.0,0.0,0.0,52986.0,63728.0,0.0,0.0,0.0,0.0,200000.0,0.0,53671.56
Chula Vista,2021,INTERFAITH SHELTER NETWORK,0.0,30000.0,0.0,0.0,0.0,111454.0,0.0,0.0,0.0,0.0,0.0,45003.44,0.0,0.0,0.0,0.0,52986.0,63728.0,0.0,0.0,0.0,0.0,200000.0,0.0,53671.56
Chula Vista,2021,SBCS CORPORATION,0.0,30000.0,0.0,0.0,0.0,111454.0,0.0,0.0,0.0,0.0,0.0,45003.44,0.0,0.0,0.0,0.0,52986.0,63728.0,0.0,0.0,0.0,0.0,200000.0,0.0,53671.56
Chula Vista,2021,"MCALISTER INSTITUTE FOR TREATMENT & EDUCATION, INC",0.0,30000.0,0.0,0.0,0.0,111454.0,0.0,0.0,0.0,0.0,0.0,45003.44,0.0,0.0,0.0,0.0,52986.0,63728.0,0.0,0.0,0.0,0.0,200000.0,0.0,53671.56
Chula Vista,2021,"MARK II, LP",0.0,30000.0,0.0,0.0,0.0,111454.0,0.0,0.0,0.0,0.0,0.0,45003.44,0.0,0.0,0.0,0.0,52986.0,63728.0,0.0,0.0,0.0,0.0,200000.0,0.0,53671.56
Coronado,2021,St. Vincent de Paul Village,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95680.33,0.0
Coronado,2022,St. Vincent de Paul Village,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95680.33,0.0
Coronado,2023,St. Vincent de Paul Village,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95680.33,0.0
El Cajon,2014,East County Transitional Living Center,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cajon,2015,East County Transitional Living Center,0.0,240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cajon,2016,Crisis House,0.0,216456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cajon,2016,East County Transitional Living Center,0.0,216456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cajon,2016,Interfaith Community Services,0.0,216456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cajon,2017,East County Transitional Living Center,0.0,220000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cajon,2017,Interfaith Community Services,0.0,220000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cajon,2018,Interfaith Community Services,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cajon,2019,Crisis House,0.0,1549337.7,10000.0,0.0,0.0,0.0,0.0,0.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cajon,2019,East County Transitional Living Center,0.0,1549337.7,10000.0,0.0,0.0,0.0,0.0,0.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cajon,2019,Home Start,0.0,1549337.7,10000.0,0.0,0.0,0.0,0.0,0.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cajon,2019,Interfaith Community Services,0.0,1549337.7,10000.0,0.0,0.0,0.0,0.0,0.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cajon,2019,The Salvation Army,0.0,1549337.7,10000.0,0.0,0.0,0.0,0.0,0.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cajon,2021,East County Transitional Living Center,0.0,221786.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cajon,2021,Interfaith Community Services,0.0,221786.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cajon,2021,The Salvation Army,0.0,221786.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cajon,2022,Home Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Encinitas,2018,Community Resource Center,6707.0,6707.0,0.0,0.0,0.0,0.0,13407.0,0.0,0.0,0.0,0.0,0.0,0.0,107905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Encinitas,2018,Interfaith Community Services,6707.0,6707.0,0.0,0.0,0.0,0.0,13407.0,0.0,0.0,0.0,0.0,0.0,0.0,107905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Encinitas,2018,Catholic Charities,6707.0,6707.0,0.0,0.0,0.0,0.0,13407.0,0.0,0.0,0.0,0.0,0.0,0.0,107905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Encinitas,2019,Community Resource Center,20054.0,0.0,0.0,0.0,0.0,0.0,13607.0,0.0,0.0,0.0,0.0,0.0,0.0,118700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Encinitas,2019,Interfaith Community Services,20054.0,0.0,0.0,0.0,0.0,0.0,13607.0,0.0,0.0,0.0,0.0,0.0,0.0,118700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Encinitas,2021,CRC,50256.0,0.0,0.0,0.0,83034.0,0.0,0.0,0.0,0.0,0.0,0.0,157125.0,0.0,118700.0,0.0,0.0,0.0,0.0,0.0,278458.5,0.0,162500.0,0.0,0.0,0.0
Encinitas,2021,Community Resource Center,50256.0,0.0,0.0,0.0,83034.0,0.0,0.0,0.0,0.0,0.0,0.0,157125.0,0.0,118700.0,0.0,0.0,0.0,0.0,0.0,278458.5,0.0,162500.0,0.0,0.0,0.0
Encinitas,2021,McAlister Institute,50256.0,0.0,0.0,0.0,83034.0,0.0,0.0,0.0,0.0,0.0,0.0,157125.0,0.0,118700.0,0.0,0.0,0.0,0.0,0.0,278458.5,0.0,162500.0,0.0,0.0,0.0
Encinitas,2021,Interfaith Community Services,50256.0,0.0,0.0,0.0,83034.0,0.0,0.0,0.0,0.0,0.0,0.0,157125.0,0.0,118700.0,0.0,0.0,0.0,0.0,0.0,278458.5,0.0,162500.0,0.0,0.0,0.0
Encinitas,2021,Jewish Family Service of San Diego,50256.0,0.0,0.0,0.0,83034.0,0.0,0.0,0.0,0.0,0.0,0.0,157125.0,0.0,118700.0,0.0,0.0,0.0,0.0,0.0,278458.5,0.0,162500.0,0.0,0.0,0.0
Encinitas,2022,McAlister Institute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162500.0,0.0,0.0,0.0
Escondido,2017,Interfaith Community Services,0.0,43000.0,0.0,0.0,0.0,0.0,192324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escondido,2017,Alliance for Regional Solutions,0.0,43000.0,0.0,0.0,0.0,0.0,192324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escondido,2018,Interfaith Community Services,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escondido,2018,Alliance for Regional Solutions,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escondido,2019,Interfaith Community Services,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276432.0,0.0,0.0,0.0,0.0,0.0,0.0,185328.0,0.0,0.0,0.0
Escondido,2019,Alliance for Regional Solutions,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276432.0,0.0,0.0,0.0,0.0,0.0,0.0,185328.0,0.0,0.0,0.0
Escondido,2021,Interfaith Community Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328330.0,0.0,0.0,1250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La Mesa,2021,PATH,0.0,0.0,0.0,377618.0,0.0,0.0,0.0,0.0,0.0,0.0,676000.0,0.0,0.0,0.0,5403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La Mesa,2021,Department of Housing and Community Development,0.0,0.0,0.0,377618.0,0.0,0.0,0.0,0.0,0.0,0.0,676000.0,0.0,0.0,0.0,5403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La Mesa,2021,Home Start,0.0,0.0,0.0,377618.0,0.0,0.0,0.0,0.0,0.0,0.0,676000.0,0.0,0.0,0.0,5403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La Mesa,2022,Home Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lemon Grove,2021,Home Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19031.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
National City,2017,South Bay Community Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94073.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
National City,2018,South Bay Community Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94073.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
National City,2021,McAlister Institute for Treatment and Education Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182122.93,0.0,0.0,0.0,313532.0,0.0,0.0,0.0
National City,2021,South Bay Community Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182122.93,0.0,0.0,0.0,313532.0,0.0,0.0,0.0
Poway,2018,Elderhelp of San Diego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poway,2019,Elderhelp of San Diego,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poway,2019,Interfaith Community Services,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poway,2021,Jewish Family Services,0.0,0.0,0.0,0.0,168822.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Diego,2017,Alpha Project ,0.0,6117446.0,394000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189000.0,0.0,0.0,0.0,0.0,0.0,0.0,717118.0,0.0
San Diego,2017,Veterans Village of San Diego,0.0,6117446.0,394000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189000.0,0.0,0.0,0.0,0.0,0.0,0.0,717118.0,0.0
San Diego,2017,Father Joe's Village,0.0,6117446.0,394000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189000.0,0.0,0.0,0.0,0.0,0.0,0.0,717118.0,0.0
San Diego,2017,Downtown San Diego Partnership,0.0,6117446.0,394000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189000.0,0.0,0.0,0.0,0.0,0.0,0.0,717118.0,0.0
San Diego,2017,PATH,0.0,6117446.0,394000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189000.0,0.0,0.0,0.0,0.0,0.0,0.0,717118.0,0.0
San Diego,2018,Jewish Family Services,0.0,0.0,844000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239000.0,0.0,0.0,488584.0,0.0,0.0,0.0,3656326.52,0.0
San Diego,2018,Mental Health Systems,0.0,0.0,844000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239000.0,0.0,0.0,488584.0,0.0,0.0,0.0,3656326.52,0.0
San Diego,2018,Mental Health Systems Inc.,0.0,0.0,844000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239000.0,0.0,0.0,488584.0,0.0,0.0,0.0,3656326.52,0.0
San Diego,2018,Think Dignity,0.0,0.0,844000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239000.0,0.0,0.0,488584.0,0.0,0.0,0.0,3656326.52,0.0
San Diego,2018,Downtown San Diego Partnership,0.0,0.0,844000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239000.0,0.0,0.0,488584.0,0.0,0.0,0.0,3656326.52,0.0
San Diego,2018,PATH,0.0,0.0,844000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239000.0,0.0,0.0,488584.0,0.0,0.0,0.0,3656326.52,0.0
San Diego,2019,Jewish Family Services,0.0,15693598.76,844000.0,0.0,0.0,0.0,0.0,0.0,232309.0,1850000.0,0.0,0.0,0.0,0.0,0.0,0.0,2974147.0,0.0,0.0,956291.0,0.0,0.0,0.0,4801341.54,0.0
